Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1403636579.8092628,8150,1403636579,758555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.0991347015132779,0.14730578886832138,0.02722713633111154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.147691708333333,-0.3759215833333333,-2.40262925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.8093286,8151,1403636579,763555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.0991347015132779,0.14032447186034408,0.029321531433504733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.033280791666666,-0.40861041666666664,-2.40262925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.809457,8152,1403636579,768555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.09843656981248018,0.12775810124598494,0.03769911184307752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.886181041666666,-0.42495483333333334,-2.435318083333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.8094964,8153,1403636579,773555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.10262536001726656,0.11588986233242347,0.04537856055185257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8289755833333325,-0.3759215833333333,-2.4680069166666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.8095846,8154,1403636579,778555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.1054178868204575,0.10821041362364843,0.05166174585903216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.714564666666666,-0.40861041666666664,-2.557901208333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.8098986,8155,1403636579,783555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.10890854532444616,0.09773843811168245,0.056548667764616284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.657359208333333,-0.43312704166666666,-2.6396232916666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.809944,8156,1403636579,788555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.11030480872604163,0.08587019919812101,0.0614355896702004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.591981541666666,-0.465815875,-2.705000958333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.809979,8157,1403636579,793555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.114493598930828,0.0747000919853573,0.060039326268604934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5511205,-0.4739880833333333,-2.7458620000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.8100133,8158,1403636579,798555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.11100294042683936,0.057246799465414,0.06213372137099814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.591981541666666,-0.5148491249999999,-2.8847895416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.8100474,8159,1403636579,803555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.11728612573401893,0.04677482395344803,0.0614355896702004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.624670374999999,-0.48216029166666663,-2.9256505833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.859393,8160,1403636579,808555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.12147491593880534,0.033510321638291124,0.05375614096142535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.60015375,-0.53936575,-2.9338227916666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.8594356,8161,1403636579,813555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.11938052083641214,0.011868238913561441,0.041189770347066175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.714564666666666,-0.5230213333333333,-2.966511625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.859471,8162,1403636579,818555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.12007865253720987,-0.0027925268031909274,0.033510321638291124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.730909083333333,-0.45764366666666667,-2.9338227916666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.8595061,8163,1403636579,823555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.11728612573401893,-0.019547687622336492,0.02583087292951608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.837147791666666,-0.4494714583333333,-2.852100708333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.8595402,8164,1403636579,828555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.11030480872604163,-0.04328416544945937,0.0153588974175501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.033280791666666,-0.42495483333333334,-2.778550833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.8595772,8165,1403636579,833555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.1075122819228507,-0.06492624817418906,0.006283185307179587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.131347291666666,-0.4004382083333333,-2.7131731666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.8596156,8166,1403636579,838555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.09843656981248018,-0.08168140899333462,0.0006981317007977319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.253930416666666,-0.367749375,-2.655967708333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403636579.8596447,8167,1403636579,843555500,imu4,0.0,0.0,0.0,1.0,99999.9,0.0,0.0,0.0,99999.9,0.0,0.0,0.0,99999.9,-0.08936085770210968,-0.09354964790689606,-0.0013962634015954637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.351996916666666,-0.416782625,-2.623278875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
